,date,temp_min,temp_max,temp_mean,temp_count
0,2010-03-10,11.0,13.2,12.166666666666666,6
1,2010-03-11,7.7,11.4,9.762500000000001,24
2,2010-03-12,5.7,16.2,11.133333333333333,24
3,2010-03-13,6.2,19.0,12.779166666666667,24
4,2010-03-14,10.0,22.7,15.799999999999999,24
5,2010-03-15,11.3,25.9,17.345833333333335,24
6,2010-03-16,10.7,29.9,18.720833333333335,24
7,2010-03-17,10.4,28.1,18.720833333333335,24
8,2010-03-18,10.6,28.1,17.758333333333333,24
9,2010-03-19,11.2,16.8,14.095833333333333,24
10,2010-03-20,12.8,20.7,15.950000000000001,24
11,2010-03-21,14.1,21.4,17.1125,24
12,2010-03-22,14.3,21.7,17.120833333333334,24
13,2010-03-23,8.4,15.2,11.9,24
14,2010-03-24,9.9,16.4,11.745833333333332,24
15,2010-03-25,7.6,18.1,11.487499999999999,24
16,2010-03-26,8.0,20.0,11.754166666666668,24
17,2010-03-27,6.1,18.7,12.333333333333334,24
18,2010-03-28,7.5,21.4,13.454166666666666,24
19,2010-03-29,7.7,19.1,13.383333333333333,24
20,2010-03-30,10.9,21.9,15.391666666666666,24
21,2010-03-31,10.1,16.3,13.620833333333332,24
22,2010-04-01,9.4,24.5,16.483333333333334,24
23,2010-04-02,10.8,27.6,17.837500000000002,24
24,2010-04-03,13.3,25.5,18.900000000000002,24
25,2010-04-04,13.3,26.1,18.974999999999998,24
26,2010-04-05,12.6,22.6,16.670833333333334,24
27,2010-04-06,13.6,20.2,16.620833333333334,24
28,2010-04-07,9.3,19.2,14.283333333333333,24
29,2010-04-08,7.4,25.4,14.695833333333333,24
30,2010-04-09,11.2,25.9,23.599999999999998,24
31,2010-04-10,9.6,21.7,14.924999999999999,24
32,2010-04-11,7.1,22.1,14.779166666666667,24
33,2010-04-12,9.3,14.9,12.195833333333333,24
34,2010-04-13,9.3,16.8,13.129166666666668,24
35,2010-04-14,9.9,22.6,15.424999999999999,24
36,2010-04-15,9.4,20.4,14.795833333333334,24
37,2010-04-16,11.7,18.2,13.929166666666667,24
38,2010-04-17,11.9,20.1,15.595833333333333,24
39,2010-04-18,13.3,18.2,15.391666666666666,24
40,2010-04-19,9.5,20.1,13.408333333333333,24
41,2010-04-20,8.9,26.9,16.150000000000002,24
42,2010-04-21,10.2,27.8,18.966666666666665,24
43,2010-04-22,12.6,32.9,21.216666666666665,24
44,2010-04-23,13.4,29.9,21.104166666666668,24
45,2010-04-24,11.4,28.6,20.1375,24
46,2010-04-25,11.5,20.8,15.545833333333334,24
47,2010-04-26,13.5,20.5,16.525000000000002,24
48,2010-04-27,14.5,29.6,20.816666666666666,24
49,2010-04-28,14.3,29.8,21.029166666666665,24
50,2010-04-29,12.0,26.4,18.962500000000002,24
51,2010-04-30,14.6,22.5,17.920833333333334,24
52,2010-05-01,14.8,27.4,19.816666666666666,24
53,2010-05-02,13.5,25.5,19.575,24
54,2010-05-03,15.2,31.5,21.129166666666666,24
55,2010-05-04,14.7,21.1,17.908333333333335,24
56,2010-05-05,11.2,20.0,15.991666666666667,24
57,2010-05-06,11.6,20.4,14.241666666666667,24
58,2010-05-07,11.9,20.4,15.254166666666668,24
59,2010-05-08,7.3,20.4,14.208333333333334,24
60,2010-05-09,11.6,20.5,15.158333333333333,24
61,2010-05-10,13.0,26.2,17.6375,24
62,2010-05-11,10.6,27.9,18.841666666666665,24
63,2010-05-12,13.3,23.0,16.945833333333333,24
64,2010-05-13,14.9,20.9,17.716666666666665,24
65,2010-05-14,15.7,29.1,22.104166666666668,24
66,2010-05-15,13.8,28.8,20.945833333333333,24
67,2010-05-16,13.1,32.8,22.28333333333333,24
68,2010-05-17,15.2,26.6,20.95,24
69,2010-05-18,16.8,32.4,23.84166666666667,24
70,2010-05-19,15.8,32.2,22.662499999999998,24
71,2010-05-20,15.0,33.6,23.229166666666668,24
72,2010-05-21,14.5,33.5,23.316666666666666,24
73,2010-05-22,16.2,29.1,21.962500000000002,24
74,2010-05-23,17.0,28.5,22.579166666666666,24
75,2010-05-24,15.3,26.3,19.783333333333335,24
76,2010-05-25,10.8,33.1,22.704166666666666,24
77,2010-05-26,20.2,33.4,26.379166666666666,24
78,2010-05-27,14.9,33.2,22.97083333333333,24
79,2010-05-28,15.3,30.2,21.52916666666667,24
80,2010-05-29,17.2,23.8,20.01666666666667,24
81,2010-05-30,16.6,33.9,23.6875,24
82,2010-05-31,16.1,32.4,22.72083333333333,24
83,2010-06-01,15.5,25.8,20.037499999999998,24
84,2010-06-02,18.0,33.3,24.004166666666666,24
85,2010-06-03,16.4,30.1,23.329166666666666,24
86,2010-06-04,19.6,28.4,23.683333333333334,24
87,2010-06-05,18.8,31.5,23.816666666666666,24
88,2010-06-06,16.2,27.5,21.929166666666664,24
89,2010-06-07,16.0,34.4,25.320833333333336,24
90,2010-06-08,17.5,36.9,26.979166666666668,24
91,2010-06-09,20.5,39.9,29.1875,24
92,2010-06-10,19.5,39.6,28.587500000000002,24
93,2010-06-11,17.9,38.9,28.004166666666666,24
94,2010-06-12,18.4,36.9,27.016666666666666,24
95,2010-06-13,18.9,25.6,22.025000000000002,24
96,2010-06-14,17.9,26.4,21.833333333333332,24
97,2010-06-15,19.3,36.0,26.583333333333332,24
98,2010-06-16,19.6,34.3,25.900000000000002,24
99,2010-06-17,17.8,32.1,25.34166666666667,24
100,2010-06-18,20.8,38.7,28.391666666666666,24
101,2010-06-19,20.2,33.6,25.09166666666667,24
102,2010-06-20,22.6,25.8,24.224999999999998,24
103,2010-06-21,16.9,29.9,24.75,24
104,2010-06-22,16.6,34.4,25.3875,24
105,2010-06-23,19.5,36.5,27.34583333333333,24
106,2010-06-24,20.1,37.9,27.645833333333332,24
107,2010-06-25,20.2,36.2,27.670833333333334,24
108,2010-06-26,18.0,40.6,28.316666666666666,24
109,2010-06-27,21.8,43.0,31.241666666666664,24
110,2010-06-28,22.3,42.0,30.895833333333332,24
111,2010-06-29,23.5,39.5,30.820833333333336,24
112,2010-06-30,23.9,41.7,31.570833333333336,24
113,2010-07-01,23.7,40.4,30.09583333333333,24
114,2010-07-02,24.0,38.8,30.104166666666668,24
115,2010-07-03,19.4,38.7,28.9375,24
116,2010-07-04,19.9,41.7,29.204166666666666,24
117,2010-07-05,19.3,42.5,29.416666666666668,24
118,2010-07-06,20.7,42.0,30.275000000000002,24
119,2010-07-07,23.2,45.2,32.28333333333333,24
120,2010-07-08,24.9,43.1,32.55833333333333,24
121,2010-07-09,23.0,35.6,28.78333333333333,24
122,2010-07-10,20.6,35.0,26.4875,24
123,2010-07-11,19.4,35.0,25.9875,24
124,2010-07-12,17.2,29.4,22.712500000000002,24
125,2010-07-13,15.2,33.6,24.695833333333336,24
126,2010-07-14,18.0,36.4,27.041666666666668,24
127,2010-07-15,20.0,39.0,28.020833333333332,24
128,2010-07-16,19.3,39.2,28.587500000000002,24
129,2010-07-17,20.1,41.9,29.837500000000002,24
130,2010-07-18,19.6,42.2,30.483333333333334,24
131,2010-07-19,20.6,42.2,31.099999999999998,24
132,2010-07-20,22.7,43.2,32.65,24
133,2010-07-21,23.1,45.3,32.80833333333333,24
134,2010-07-22,22.6,46.1,33.074999999999996,24
135,2010-07-23,22.4,42.7,32.2125,24
136,2010-07-24,23.9,38.6,29.791666666666668,24
137,2010-07-25,22.5,32.1,26.4875,24
138,2010-07-26,24.1,37.2,29.52916666666667,24
139,2010-07-27,23.6,34.2,28.316666666666666,24
140,2010-07-28,19.4,39.0,28.558333333333334,24
141,2010-07-29,21.8,40.4,29.40833333333333,24
142,2010-07-30,22.1,40.1,30.066666666666666,24
143,2010-07-31,21.2,39.9,30.575,24
144,2010-08-01,21.9,39.8,30.15416666666667,24
145,2010-08-02,23.1,38.8,30.724999999999998,24
146,2010-08-03,24.3,39.5,30.416666666666668,24
